Date,Account,Category,Amount,Type,Payee,Clear
7/31/2018,Active Duty Checking,,27000,transfer,,Yes
4/18/2018,Active Duty Checking,,11000,transfer,,Yes
4/17/2018,Active Duty Checking,Tax:Fed,8949,income,IRS Refund,Yes
12/15/2017,Active Duty Checking,,7737.07,transfer,,Yes
1/1/2019,Chase Freedom Unlimited,Education,7390,expense,Thinkful,Yes
1/4/2019,Active Duty Checking,,6000,transfer,,Yes
9/2/2018,Active Duty Checking,,6000,transfer,,Yes
7/31/2018,Active Duty Checking,,5797.01,transfer,,Yes
2/4/2018,Active Duty Checking,IRA Contrib,5500,expense,Fidelity,Yes
12/31/2017,Active Duty Checking,,5218.61,transfer,,Yes
12/5/2017,Shared Savings,,5000,transfer,,Yes
12/31/2017,Shared Savings,,4600,transfer,,Yes
10/31/2018,Active Duty Checking,,3881.21,transfer,,Yes
12/4/2018,Active Duty Checking,,3872.88,transfer,,Yes
1/11/2019,Active Duty Checking,Salary,3771.49,income,Dfas,Yes
3/14/2018,Active Duty Checking,Salary,3738.24,income,Dfas,Yes
3/31/2018,Active Duty Checking,Salary,3738.22,income,Dfas,Yes
2/27/2018,Active Duty Checking,Salary,3738.22,income,Dfas,Yes
4/11/2018,Active Duty Checking,Salary,3738.1,income,Dfas,Yes
2/13/2018,Active Duty Checking,Salary,3712,income,Dfas,Yes
12/12/2018,Active Duty Checking,Salary,3672.1,income,Dfas,Yes
11/13/2018,Active Duty Checking,Salary,3672.1,income,Dfas,Yes
10/11/2018,Active Duty Checking,Salary,3672.1,income,Dfas,Yes
9/13/2018,Active Duty Checking,Salary,3672.1,income,Dfas,Yes
8/15/2018,Active Duty Checking,Salary,3672.1,income,Dfas,Yes
7/11/2018,Active Duty Checking,Salary,3672.1,income,Dfas,Yes
11/28/2018,Active Duty Checking,Salary,3672.07,income,Dfas,Yes
10/31/2018,Active Duty Checking,Salary,3672.07,income,Dfas,Yes
9/27/2018,Active Duty Checking,Salary,3672.07,income,Dfas,Yes
9/1/2018,Active Duty Checking,Salary,3672.07,income,Dfas,Yes
7/30/2018,Active Duty Checking,Salary,3672.07,income,Dfas,Yes
12/27/2018,Active Duty Checking,Salary,3672.04,income,Dfas,Yes
5/2/2018,Active Duty Checking,Salary,3642.07,income,Dfas,Yes
2/1/2018,Active Duty Checking,Salary,3617.46,income,Dfas,Yes
5/11/2018,Active Duty Checking,Salary,3609.1,income,Dfas,Yes
5/31/2018,Active Duty Checking,Salary,3609.07,income,Dfas,Yes
1/10/2018,Active Duty Checking,Salary,3600.86,income,Dfas,Yes
12/31/2017,Active Duty Checking,Salary,3540.83,income,Dfas,Yes
12/15/2017,Active Duty Checking,Salary,3540.83,income,Dfas,Yes
6/13/2018,Active Duty Checking,Salary,3522.1,income,Dfas,Yes
6/29/2018,Active Duty Checking,Salary,3522.07,income,Dfas,Yes
1/19/2019,Active Duty Checking,,3482.32,transfer,,No
12/16/2018,Active Duty Checking,,3445.15,transfer,,Yes
11/18/2018,Active Duty Checking,,3424.1,transfer,,Yes
5/21/2018,Active Duty Checking,,3000.96,transfer,,Yes
6/18/2018,Active Duty Checking,,3000,transfer,,Yes
7/14/2018,Active Duty Checking,,2933.02,transfer,,Yes
3/23/2018,Shared Savings,,2900,transfer,,Yes
3/5/2018,Active Duty Checking,,2700,transfer,,Yes
12/15/2017,Active Duty Checking,,2603.06,transfer,,Yes
12/9/2018,Chase Freedom Unlimited,Education,2500,income,Trilogy,Yes
10/21/2018,Chase Freedom Unlimited,Education,2500,expense,Trilogy,Yes
9/14/2018,Active Duty Checking,,2381.22,transfer,,Yes
9/9/2018,AMEX Platinum,Travel,2381.22,expense,AMEX Travel,Yes
10/16/2018,Active Duty Checking,,2340.78,transfer,,Yes
2/4/2018,Active Duty Checking,,2276.97,transfer,,Yes
4/18/2018,Active Duty Checking,,2193.52,transfer,,Yes
3/23/2018,Active Duty Checking,,2186.58,transfer,,Yes
4/4/2018,Active Duty Checking,,2000.54,transfer,,Yes
10/1/2018,Active Duty Checking,,2000,transfer,,Yes
3/15/2018,Active Duty Checking,,1912.72,transfer,,Yes
5/2/2018,Active Duty Checking,,1910.71,transfer,,Yes
9/13/2018,Active Duty Checking,,1871.86,transfer,,Yes
8/15/2018,Active Duty Checking,Not Sure,1846,expense,IRS,Yes
9/2/2018,Active Duty Checking,,1804.22,transfer,,Yes
7/15/2018,Chase Freedom Unlimited,Entertainment,1801,expense,Sam Ash,Yes
11/7/2018,Active Duty Checking,Salary,1616.47,income,Vidant,Yes
8/15/2018,Active Duty Checking,Salary,1616.47,income,VMC,Yes
1/17/2019,Active Duty Checking,Salary,1616.46,income,Vidant,Yes
1/2/2019,Active Duty Checking,Salary,1616.46,income,Vidant,Yes
12/20/2018,Active Duty Checking,Salary,1616.46,income,Vidant,Yes
12/5/2018,Active Duty Checking,Salary,1616.46,income,Vidant,Yes
11/20/2018,Active Duty Checking,Salary,1616.46,income,Vidant,Yes
10/24/2018,Active Duty Checking,Salary,1616.46,income,Vidant,Yes
10/10/2018,Active Duty Checking,Salary,1616.46,income,VMC,Yes
9/26/2018,Active Duty Checking,Salary,1616.46,income,VMC,Yes
9/11/2018,Active Duty Checking,Salary,1616.46,income,VMC,Yes
9/1/2018,Active Duty Checking,Salary,1616.46,income,VMC,Yes
8/1/2018,Active Duty Checking,Salary,1616.46,income,VMC,Yes
7/18/2018,Active Duty Checking,Salary,1616.46,income,VMC,Yes
7/3/2018,Active Duty Checking,Salary,1551.39,income,VMC,Yes
3/15/2018,Active Duty Checking,Salary,1551.39,income,VMC,Yes
2/28/2018,Active Duty Checking,Salary,1551.39,income,VMC,Yes
2/13/2018,Active Duty Checking,Salary,1551.38,income,VMC,Yes
3/15/2018,Active Duty Checking,,1540.59,transfer,,Yes
3/28/2018,Active Duty Checking,Salary,1527.18,income,VMC,Yes
2/1/2018,Active Duty Checking,Salary,1515.08,income,VMC,Yes
1/3/2018,Active Duty Checking,Salary,1515.08,income,VMC,Yes
1/17/2018,Active Duty Checking,Salary,1515.07,income,VMC,Yes
12/15/2017,Active Duty Checking,Salary,1508.32,income,VMC,Yes
12/20/2017,Active Duty Checking,Salary,1508.31,income,VMC,Yes
9/14/2018,Active Duty Checking,,1500,transfer,,Yes
10/16/2018,Active Duty Checking,,1494.37,transfer,,Yes
