,purch_amt,gender,card_on_file,age,days_since_last_purch,loyalty
0,19.58,male,no,31,35,0
1,65.16,male,yes,23,61,0
2,40.6,female,no,36,49,0
3,38.01,male,yes,47,57,0
4,22.32,female,yes,5,39,0
5,39.66,female,no,6,79,0
6,43.96,male,yes,36,64,0
7,6.09,female,yes,36,67,0
8,25.89,female,no,28,53,0
9,93.63,female,no,40,47,1
10,46.07,male,no,8,37,0
11,28.05,male,yes,14,46,0
12,60.62,male,yes,16,58,0
13,64.91,male,yes,22,59,1
14,56.84,male,yes,38,81,0
15,65.81,female,no,37,60,0
16,47.69,male,yes,43,72,0
17,42.5,male,no,37,64,0
18,37.39,male,no,23,65,0
19,52.5,female,yes,11,58,0
20,37.03,female,no,10,79,0
21,58.94,male,no,29,64,0
22,63.49,female,yes,33,57,0
23,11.55,male,no,21,53,1
24,54.61,male,no,37,65,0
25,30.88,male,yes,35,57,0
26,5.53,male,no,17,68,0
27,35.13,female,no,29,49,0
28,40.64,female,no,20,29,1
29,56.42,male,yes,29,54,0
30,50.4,male,yes,13,60,0
31,56.74,female,no,30,54,0
32,3.27,female,yes,13,66,0
33,88.24,male,yes,35,54,0
34,60.93,female,no,28,35,0
35,64.07,male,no,10,62,1
36,41.21,male,no,20,50,0
37,21.16,male,no,21,41,0
38,15.26,male,no,33,81,0
39,3.97,male,no,15,63,0
40,26.35,female,no,39,39,1
41,55.86,male,no,18,91,0
42,40.36,female,no,15,64,0
43,56.5,female,yes,28,34,0
44,17.97,male,yes,48,85,0
45,77.76,female,no,19,48,0
46,46.05,female,yes,25,73,0
47,34.93,female,no,33,39,0
48,99.03,male,no,39,51,1
49,70.98,male,yes,29,60,0
50,51.32,male,no,28,34,0
51,15.81,female,no,26,49,0
52,0.15,female,no,26,42,0
53,40.23,male,no,34,64,0
54,19.67,male,yes,16,56,0
55,59.03,female,no,33,40,0
56,66.01,male,yes,33,85,0
57,58.56,male,yes,35,37,1
58,37.9,male,yes,13,37,0
59,53.4,female,yes,37,22,1
60,49.94,female,yes,50,73,0
61,64.85,female,yes,46,57,0
62,57.56,female,yes,34,52,1
63,52.23,female,yes,41,30,1
64,39.15,male,yes,14,62,0
65,38.83,female,yes,27,46,1
66,38.55,female,no,28,70,0
67,64.65,female,yes,27,47,0
68,75.09,male,no,29,60,1
69,29.41,male,no,21,30,0
70,80.67,female,no,26,50,0
71,51.97,female,no,29,49,1
72,36.63,male,no,22,71,0
73,11.82,male,yes,26,51,0
74,39.46,female,yes,38,71,0
75,43.9,female,yes,50,64,0
76,86.47,female,yes,38,66,0
77,18.17,female,no,23,74,0
78,34.74,female,yes,26,53,0
79,70.93,female,no,39,92,0
80,44.13,male,yes,54,33,1
81,66,female,no,30,50,0
82,36.5,female,no,31,85,0
83,62.68,female,no,7,61,0
84,36.69,male,yes,41,94,0
85,66.97,male,yes,25,57,1
86,50.54,female,no,26,80,0
87,17.85,female,no,36,34,0
88,75.89,male,yes,42,28,1
89,73.12,female,no,17,31,1
90,61.12,female,yes,35,83,0
91,36.12,female,no,22,90,0
92,31.24,female,yes,12,56,0
93,33.61,female,no,36,45,0
94,82.87,female,yes,25,53,0
95,51.19,female,yes,21,75,0
96,79.32,male,yes,32,63,1
97,24.3,male,no,30,47,0
98,30.87,male,no,13,69,0
99,57.06,female,no,4,56,0
100,41.12,male,yes,27,57,0
101,78.51,female,yes,14,54,0
102,69.73,female,no,19,67,0
